Date,City,Longitude,Latitude,PM2.5 (µg/m³),PM10 (µg/m³)
2016-01-01,Seoul,126.978,37.5665,0.0,0.0
2016-01-01,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-01,Beijing,116.4074,39.9042,0.0,0.0
2016-01-01,Delhi,77.1025,28.7041,0.0,0.0
2016-01-01,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-02,Seoul,126.978,37.5665,0.0,0.0
2016-01-02,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-02,Beijing,116.4074,39.9042,0.0,0.0
2016-01-02,Delhi,77.1025,28.7041,0.0,0.0
2016-01-02,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-03,Seoul,126.978,37.5665,0.0,0.0
2016-01-03,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-03,Beijing,116.4074,39.9042,0.0,0.0
2016-01-03,Delhi,77.1025,28.7041,0.0,0.0
2016-01-03,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-04,Seoul,126.978,37.5665,0.0,0.0
2016-01-04,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-04,Beijing,116.4074,39.9042,0.0,0.0
2016-01-04,Delhi,77.1025,28.7041,0.0,0.0
2016-01-04,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-05,Seoul,126.978,37.5665,0.0,0.0
2016-01-05,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-05,Beijing,116.4074,39.9042,0.0,0.0
2016-01-05,Delhi,77.1025,28.7041,0.0,0.0
2016-01-05,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-06,Seoul,126.978,37.5665,0.0,0.0
2016-01-06,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-06,Beijing,116.4074,39.9042,0.0,0.0
2016-01-06,Delhi,77.1025,28.7041,0.0,0.0
2016-01-06,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-07,Seoul,126.978,37.5665,0.0,0.0
2016-01-07,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-07,Beijing,116.4074,39.9042,0.0,0.0
2016-01-07,Delhi,77.1025,28.7041,0.0,0.0
2016-01-07,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-08,Seoul,126.978,37.5665,0.0,0.0
2016-01-08,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-08,Beijing,116.4074,39.9042,0.0,0.0
2016-01-08,Delhi,77.1025,28.7041,0.0,0.0
2016-01-08,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-09,Seoul,126.978,37.5665,0.0,0.0
2016-01-09,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-09,Beijing,116.4074,39.9042,0.0,0.0
2016-01-09,Delhi,77.1025,28.7041,0.0,0.0
2016-01-09,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-10,Seoul,126.978,37.5665,0.0,0.0
2016-01-10,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-10,Beijing,116.4074,39.9042,0.0,0.0
2016-01-10,Delhi,77.1025,28.7041,0.0,0.0
2016-01-10,Bangkok,100.5018,13.7563,0.0,0.0
2016-01-11,Seoul,126.978,37.5665,0.0,0.0
2016-01-11,Tokyo,139.6917,35.6895,0.0,0.0
2016-01-11,Beijing,116.4074,39.9042,0.0,0.0
2016-01-11,Delhi,77.1025,28.7041,0.0,0.0
2016-01-11,Bangkok,100.5018,13.7563,0.0,0.0
